[33mWARN[0m[2024-08-02 09:05:41] not enable search                            
[GIN] 2024/08/02 - 09:06:06 | 200 |       521.7µs |             ::1 | GET      "/"
[GIN] 2024/08/02 - 09:06:06 | 200 |      1.0183ms |             ::1 | GET      "/react@16.8.6/umd/react.production.min.js"
[GIN] 2024/08/02 - 09:06:06 | 200 |       692.1µs |             ::1 | GET      "/react-dom@16.8.6/umd/react-dom.production.min.js"
[GIN] 2024/08/02 - 09:06:06 | 200 |       235.1µs |             ::1 | GET      "/@emotion/core@10.0.6/dist/core.umd.min.js"
[36mINFO[0m[2024-08-02 09:06:16] closing db                                   
[33mWARN[0m[2024-08-02 09:14:12] not enable search                            
[33mWARN[0m[2024-08-02 09:17:14] not enable search                            
[GIN] 2024/08/02 - 09:17:28 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2024/08/02 - 09:17:28 | 200 |       894.3µs |             ::1 | GET      "/react@16.8.6/umd/react.production.min.js"
[GIN] 2024/08/02 - 09:17:28 | 200 |       450.5µs |             ::1 | GET      "/react-dom@16.8.6/umd/react-dom.production.min.js"
[GIN] 2024/08/02 - 09:17:28 | 200 |       756.2µs |             ::1 | GET      "/@emotion/core@10.0.6/dist/core.umd.min.js"
[GIN] 2024/08/02 - 09:18:13 | 200 |        74.5µs |             ::1 | GET      "/"
[GIN] 2024/08/02 - 09:18:13 | 200 |       997.8µs |             ::1 | GET      "/react@16.8.6/umd/react.production.min.js"
[GIN] 2024/08/02 - 09:18:13 | 200 |            0s |             ::1 | GET      "/react-dom@16.8.6/umd/react-dom.production.min.js"
[GIN] 2024/08/02 - 09:18:13 | 200 |       670.2µs |             ::1 | GET      "/@emotion/core@10.0.6/dist/core.umd.min.js"
[GIN] 2024/08/02 - 09:18:13 | 302 |            0s |             ::1 | GET      "/favicon.ico"
[GIN] 2024/08/02 - 09:18:14 | 200 |         728µs |             ::1 | GET      "/"
[GIN] 2024/08/02 - 09:18:14 | 200 |       447.9µs |             ::1 | GET      "/react@16.8.6/umd/react.production.min.js"
[GIN] 2024/08/02 - 09:18:14 | 200 |      1.7494ms |             ::1 | GET      "/react-dom@16.8.6/umd/react-dom.production.min.js"
[GIN] 2024/08/02 - 09:18:14 | 200 |            0s |             ::1 | GET      "/@emotion/core@10.0.6/dist/core.umd.min.js"
[GIN] 2024/08/02 - 09:18:15 | 302 |            0s |             ::1 | GET      "/favicon.ico"
[GIN] 2024/08/02 - 10:52:17 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2024/08/02 - 10:52:17 | 200 |      1.9952ms |             ::1 | GET      "/react@16.8.6/umd/react.production.min.js"
[GIN] 2024/08/02 - 10:52:17 | 200 |            0s |             ::1 | GET      "/@emotion/core@10.0.6/dist/core.umd.min.js"
[GIN] 2024/08/02 - 10:52:17 | 200 |      3.8119ms |             ::1 | GET      "/react-dom@16.8.6/umd/react-dom.production.min.js"
[GIN] 2024/08/02 - 10:52:20 | 200 |       807.4µs |             ::1 | GET      "/"
[GIN] 2024/08/02 - 10:52:20 | 200 |       677.1µs |             ::1 | GET      "/react@16.8.6/umd/react.production.min.js"
[GIN] 2024/08/02 - 10:52:20 | 200 |            0s |             ::1 | GET      "/@emotion/core@10.0.6/dist/core.umd.min.js"
[GIN] 2024/08/02 - 10:52:20 | 200 |      1.1952ms |             ::1 | GET      "/react-dom@16.8.6/umd/react-dom.production.min.js"
[GIN] 2024/08/02 - 10:52:20 | 302 |      1.3842ms |             ::1 | GET      "/favicon.ico"
[GIN] 2024/08/02 - 10:52:27 | 200 |        35.2µs |             ::1 | GET      "/"
[GIN] 2024/08/02 - 10:52:27 | 200 |       406.1µs |             ::1 | GET      "/react@16.8.6/umd/react.production.min.js"
[GIN] 2024/08/02 - 10:52:27 | 200 |            0s |             ::1 | GET      "/react-dom@16.8.6/umd/react-dom.production.min.js"
[GIN] 2024/08/02 - 10:52:27 | 200 |            0s |             ::1 | GET      "/@emotion/core@10.0.6/dist/core.umd.min.js"
[GIN] 2024/08/02 - 10:52:28 | 302 |            0s |             ::1 | GET      "/favicon.ico"
[GIN] 2024/08/02 - 10:52:36 | 200 |       596.6µs |             ::1 | GET      "/"
[GIN] 2024/08/02 - 10:52:36 | 200 |       997.7µs |             ::1 | GET      "/react@16.8.6/umd/react.production.min.js"
[GIN] 2024/08/02 - 10:52:36 | 200 |       997.3µs |             ::1 | GET      "/react-dom@16.8.6/umd/react-dom.production.min.js"
[GIN] 2024/08/02 - 10:52:36 | 200 |       1.233ms |             ::1 | GET      "/@emotion/core@10.0.6/dist/core.umd.min.js"
